datum,aruhaz_kod,aruhaz_zona,kategoria,kg,partner_anonim,megjegyzes
2026-03-02,AUC-BP-101,Budapest XIX. ker,pekaru,89.5,fovarosi-gyermekvedelmi-E,
2026-03-03,AUC-BP-101,Budapest XIX. ker,tej-tejtermek,32.4,fovarosi-gyermekvedelmi-E,lejárat 4 nap
2026-03-04,AUC-BP-101,Budapest XIX. ker,zoldseg-gyumolcs,67.2,fovarosi-gyermekvedelmi-E,
2026-03-05,AUC-MISK-202,Miskolc,pekaru,124.3,vidéki-csaladsegito-F,
2026-03-06,AUC-MISK-202,Miskolc,zoldseg-gyumolcs,58.9,vidéki-csaladsegito-F,
2026-03-09,AUC-BP-101,Budapest XIX. ker,pekaru,92.7,fovarosi-gyermekvedelmi-E,
2026-03-10,AUC-PECS-303,Pécs,pekaru,71.4,vidéki-csaladsegito-G,
2026-03-11,AUC-PECS-303,Pécs,konzerv,38.6,vidéki-csaladsegito-G,
2026-03-12,AUC-BP-101,Budapest XIX. ker,fagyasztott,24.5,fovarosi-gyermekvedelmi-E,
2026-03-13,AUC-MISK-202,Miskolc,pekaru,118.0,vidéki-csaladsegito-F,
2026-03-16,AUC-BP-101,Budapest XIX. ker,zoldseg-gyumolcs,82.3,fovarosi-gyermekvedelmi-E,
2026-03-17,AUC-PECS-303,Pécs,pekaru,68.9,vidéki-csaladsegito-G,
2026-03-19,AUC-MISK-202,Miskolc,zoldseg-gyumolcs,54.7,vidéki-csaladsegito-F,
2026-03-20,AUC-BP-101,Budapest XIX. ker,pekaru,87.4,fovarosi-gyermekvedelmi-E,
2026-03-23,AUC-PECS-303,Pécs,konzerv,29.3,vidéki-csaladsegito-G,
2026-03-24,AUC-BP-101,Budapest XIX. ker,pekaru,95.6,fovarosi-gyermekvedelmi-E,
2026-03-25,AUC-MISK-202,Miskolc,pekaru,131.2,vidéki-csaladsegito-F,
2026-03-26,AUC-BP-101,Budapest XIX. ker,zoldseg-gyumolcs,73.8,fovarosi-gyermekvedelmi-E,
2026-03-27,AUC-PECS-303,Pécs,pekaru,76.2,vidéki-csaladsegito-G,
2026-03-30,AUC-BP-101,Budapest XIX. ker,pekaru,91.3,fovarosi-gyermekvedelmi-E,
2026-03-31,AUC-MISK-202,Miskolc,pekaru,124.7,vidéki-csaladsegito-F,
